head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_1_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-21.705441,159.706772,-6.497071,13.308342,84.475769,-9.488049,-43.371883,78.069588,-14.274139,-17.923126,102.269737,-6.590138,5.58394,47.495892,-25.525209,-19.730303,9.701982,0.619088
-21.618513,159.749039,-6.4443,13.368751,84.533897,-9.548387,-43.26667,78.143517,-14.235083,-17.801428,102.200546,-6.586462,5.884274,45.588451,-25.131599,-19.723469,9.732356,0.638316
-21.534985,159.784546,-6.403116,13.448055,84.619026,-9.570074,-43.15704,78.204414,-14.182219,-17.677525,102.121712,-6.60259,6.169712,43.597511,-24.580133,-19.7264,9.731032,0.654793
-21.440277,159.82515,-6.347044,13.526953,84.691666,-9.608206,-43.06374,78.297699,-14.16059,-17.578587,102.017029,-6.628741,6.400266,41.629692,-24.068628,-19.729616,9.73252,0.668793
-21.344721,159.857513,-6.294953,13.594159,84.750542,-9.639176,-42.980431,78.370499,-14.139696,-17.491249,101.903648,-6.662604,6.629211,39.718876,-23.367512,-19.736874,9.735902,0.679038
-21.24951,159.892197,-6.241039,13.67018,84.786285,-9.674247,-42.930233,78.454765,-14.128428,-17.425253,101.746223,-6.702083,6.857999,37.849812,-22.691277,-19.752291,9.739042,0.691307
-21.152517,159.931442,-6.208269,13.74265,84.796654,-9.700517,-42.87146,78.524971,-14.126601,-17.343409,101.60833,-6.758434,7.167022,36.060982,-21.786058,-19.757427,9.751332,0.697886
-21.03771,159.973557,-6.162549,13.81238,84.776283,-9.738962,-42.841503,78.623055,-14.153587,-17.25351,101.451118,-6.826012,7.51667,34.372379,-20.849266,-19.762506,9.752429,0.702616
-20.92782,160.010101,-6.126894,13.872739,84.73558,-9.777178,-42.811638,78.702263,-14.178956,-17.153784,101.324654,-6.894739,7.889094,32.700905,-19.760706,-19.767406,9.763761,0.706253
-20.810102,160.049026,-6.091869,13.91174,84.660782,-9.846172,-42.791882,78.800789,-14.225507,-17.059937,101.194321,-6.959786,8.325668,31.072449,-18.650257,-19.778547,9.762257,0.708795
-20.687437,160.093582,-6.068109,13.941072,84.581017,-9.899101,-42.783604,78.895256,-14.267951,-16.992109,101.087753,-7.060132,8.764916,29.545052,-17.516405,-19.780361,9.758939,0.711301
-20.555552,160.142349,-6.045318,13.966435,84.489845,-9.969396,-42.782448,79.003822,-14.326802,-16.949434,100.961121,-7.150086,9.241237,28.11405,-16.342691,-19.781382,9.75681,0.713956
-20.414158,160.190643,-6.029359,13.984529,84.389267,-10.035165,-42.781578,79.091652,-14.365004,-16.889688,100.862312,-7.220258,9.70648,26.772821,-15.142454,-19.782003,9.744281,0.7184
