head_x,head_y,head_z,r_controller_x,r_controller_x,r_controller_x,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-55.58852,168.98494,11.113153,-86.248199,-86.248199,-86.248199,-39.55225,80.863335,21.408438,-63.816879,104.406403,14.541221,-63.718018,14.307485,-5.953436,-63.870068,18.969021,41.390968
-55.456226,168.952423,11.998518,-85.908928,-85.908928,-85.908928,-39.718716,80.584747,22.197325,-64.005066,104.25444,15.323772,-63.719601,14.305442,-5.945089,-63.433754,18.630699,41.883881
-55.29945,168.908127,12.90082,-85.580887,-85.580887,-85.580887,-39.848991,80.3703,23.102095,-64.221497,104.145454,16.198376,-63.724739,14.303345,-5.938859,-62.904892,18.36644,42.05867
-55.126606,168.892685,13.818559,-85.287956,-85.287956,-85.287956,-40.049965,80.095299,24.132212,-64.424568,103.977753,17.085857,-63.740559,14.301634,-5.935831,-63.031921,18.347336,42.074585
-54.935619,168.897873,14.748492,-85.030022,-85.030022,-85.030022,-40.282204,79.889343,25.254316,-64.617149,103.904625,18.065485,-63.770191,14.328072,-5.932552,-63.094116,18.015217,42.041237
-54.732082,168.969269,15.706737,-84.81369,-84.81369,-84.81369,-40.954662,79.361427,26.312525,-64.727592,103.780258,19.052505,-63.815235,14.350592,-5.916017,-62.992043,18.018536,41.985451
-54.507149,169.097351,16.678835,-84.645622,-84.645622,-84.645622,-41.272881,79.282928,27.630001,-64.795563,103.830528,20.139456,-63.879616,14.395537,-5.88148,-62.950306,17.876286,42.003639
-54.261639,169.28421,17.671219,-84.494034,-84.494034,-84.494034,-41.572704,79.269432,29.009304,-64.84642,103.865486,21.186285,-63.92836,14.476488,-5.825294,-62.998653,17.77573,42.012402
-53.995274,169.490311,18.659126,-84.354622,-84.354622,-84.354622,-41.886513,79.415222,30.44557,-64.839706,104.049408,22.351427,-64.032715,14.524168,-5.752576,-62.937748,17.786057,42.06292
-53.716923,169.710327,19.641663,-84.21843,-84.21843,-84.21843,-42.177292,79.636871,31.909418,-64.829849,104.209755,23.408422,-64.150345,14.602149,-5.748225,-62.912601,17.709513,42.119965
-53.425667,169.921982,20.595263,-84.061409,-84.061409,-84.061409,-42.468018,79.988403,33.44656,-64.764961,104.446716,24.561262,-64.360535,14.722048,-5.63457,-62.85873,17.706043,42.200829
-53.137909,170.129517,21.535629,-83.888878,-83.888878,-83.888878,-42.772243,80.417198,35.070251,-64.634109,104.567146,25.661188,-64.636185,14.822885,-5.494916,-62.874378,17.671991,42.231144
-52.839577,170.322235,22.442572,-83.680183,-83.680183,-83.680183,-43.079647,80.960617,36.829403,-64.472664,104.754845,26.864294,-64.929565,14.9684,-5.273079,-62.922657,17.622087,42.249294
-52.548965,170.504166,23.3402,-83.466133,-83.466133,-83.466133,-43.395733,81.556519,38.713802,-64.222786,104.888779,28.069696,-65.25293,15.081109,-5.018289,-62.909546,17.66552,42.232803
-52.263123,170.654068,24.198555,-83.21183,-83.21183,-83.21183,-43.685387,82.228081,40.674709,-63.964836,105.056221,29.257992,-65.620979,15.255468,-4.681979,-62.929573,17.63563,42.226307
-51.987366,170.792328,25.049482,-82.94326,-82.94326,-82.94326,-43.939938,82.948662,42.768272,-63.675812,105.16819,30.443811,-66.080681,15.37641,-4.298804,-62.912983,17.631317,42.18914
